"","x"
"1096","no"
"1097","no"
"1098","no"
"1099","no"
"1100","no"
"1101","no"
"1102","no"
"1103","no"
"1104","no"
"1105","no"
"1106","no"
"1107","no"
"1108","no"
"1109","no"
"1110","no"
"1111","no"
"1112","no"
"1113","no"
"1114","no"
"1115","no"
"1116","no"
"1117","no"
"1118","no"
"1119","yes"
"1120","no"
"1121","no"
"1122","no"
"1123","no"
"1124","no"
"1125","no"
"1126","no"
"1127","no"
"1128","no"
"1129","yes"
"1130","no"
"1131","no"
"1132","yes"
"1133","yes"
"1134","no"
"1135","no"
"1136","no"
"1137","no"
"1138","no"
"1139","no"
"1140","no"
"1141","no"
"1142","no"
"1143","no"
"1144","no"
"1145","no"
"1146","no"
"1147","no"
"1148","no"
"1149","no"
"1150","no"
"1151","no"
"1152","no"
"1153","no"
"1154","yes"
"1155","no"
"1156","no"
"1157","no"
"1158","yes"
"1159","no"
"1160","no"
"1161","no"
"1162","no"
"1163","no"
"1164","no"
"1165","no"
"1166","no"
"1167","no"
"1168","no"
"1169","no"
"1170","no"
"1171","no"
"1172","no"
"1173","no"
"1174","no"
"1175","no"
"1176","no"
"1177","no"
"1178","no"
"1179","no"
"1180","no"
"1181","no"
"1182","no"
"1183","no"
"1184","yes"
"1185","no"
"1186","no"
"1187","no"
"1188","yes"
"1189","yes"
"1190","no"
"1191","no"
"1192","no"
"1193","no"
"1194","no"
"1195","no"
"1196","no"
"1197","no"
"1198","no"
"1199","no"
"1200","no"
"1201","no"
"1202","no"
"1203","no"
"1204","no"
"1205","no"
"1206","no"
"1207","no"
"1208","no"
"1209","yes"
"1210","no"
"1211","yes"
"1212","no"
"1213","no"
"1214","no"
"1215","no"
"1216","no"
"1217","no"
"1218","no"
"1219","no"
"1220","no"
"1221","no"
"1222","no"
"1223","no"
"1224","no"
"1225","no"
"1226","no"
"1227","no"
"1228","no"
"1229","no"
"1230","no"
"1231","no"
"1232","no"
"1233","no"
"1234","yes"
"1235","no"
"1236","no"
"1237","no"
"1238","no"
"1239","no"
"1240","no"
"1241","no"
"1242","no"
"1243","no"
"1244","yes"
"1245","no"
"1246","no"
"1247","no"
"1248","yes"
"1249","no"
"1250","no"
"1251","yes"
"1252","no"
"1253","no"
"1254","no"
"1255","no"
"1256","no"
"1257","no"
"1258","yes"
"1259","no"
"1260","no"
"1261","yes"
"1262","no"
"1263","no"
"1264","no"
"1265","no"
"1266","no"
"1267","no"
"1268","no"
"1269","no"
"1270","no"
"1271","yes"
"1272","no"
"1273","yes"
"1274","no"
"1275","no"
"1276","no"
"1277","no"
"1278","no"
"1279","no"
"1280","no"
"1281","no"
"1282","no"
"1283","yes"
"1284","no"
"1285","no"
"1286","no"
"1287","no"
"1288","no"
"1289","no"
"1290","no"
"1291","yes"
"1292","no"
"1293","no"
"1294","no"
"1295","no"
"1296","yes"
"1297","no"
"1298","no"
"1299","no"
"1300","no"
"1301","no"
"1302","no"
"1303","no"
"1304","no"
"1305","no"
"1306","no"
"1307","no"
"1308","no"
"1309","no"
"1310","no"
"1311","no"
"1312","no"
"1313","no"
"1314","no"
"1315","no"
"1316","no"
"1317","no"
"1318","no"
"1319","no"
"1320","no"
"1321","no"
"1322","no"
"1323","no"
"1324","no"
"1325","no"
"1326","no"
"1327","no"
"1328","yes"
"1329","no"
"1330","no"
"1331","yes"
"1332","no"
"1333","no"
"1334","no"
"1335","no"
"1336","no"
"1337","no"
"1338","no"
"1339","no"
"1340","no"
"1341","no"
"1342","no"
"1343","no"
"1344","no"
"1345","no"
"1346","no"
"1347","no"
"1348","no"
"1349","no"
"1350","no"
"1351","no"
"1352","yes"
"1353","no"
"1354","no"
"1355","no"
"1356","no"
"1357","no"
"1358","no"
"1359","no"
"1360","no"
"1361","yes"
"1362","no"
"1363","no"
"1364","no"
"1365","yes"
"1366","no"
"1367","no"
"1368","no"
"1369","no"
"1370","no"
"1371","no"
"1372","no"
"1373","no"
"1374","no"
"1375","no"
"1376","no"
"1377","yes"
"1378","no"
"1379","no"
"1380","no"
"1381","no"
"1382","no"
"1383","no"
"1384","no"
"1385","no"
"1386","no"
"1387","no"
"1388","no"
"1389","no"
"1390","no"
"1391","no"
"1392","no"
"1393","no"
"1394","no"
"1395","no"
"1396","no"
"1397","yes"
"1398","yes"
"1399","no"
"1400","yes"
"1401","no"
"1402","no"
"1403","no"
"1404","no"
"1405","no"
"1406","yes"
"1407","no"
"1408","no"
"1409","no"
"1410","no"
"1411","no"
"1412","no"
"1413","no"
"1414","no"
"1415","no"
"1416","no"
"1417","no"
"1418","no"
"1419","no"
"1420","no"
"1421","no"
"1422","no"
"1423","no"
"1424","no"
"1425","no"
"1426","no"
"1427","no"
"1428","no"
"1429","no"
"1430","no"
"1431","no"
"1432","no"
"1433","no"
"1434","no"
"1435","no"
"1436","no"
"1437","no"
"1438","no"
"1439","no"
"1440","no"
"1441","no"
"1442","no"
"1443","no"
"1444","no"
"1445","yes"
"1446","yes"
"1447","no"
"1448","no"
"1449","yes"
"1450","no"
"1451","no"
"1452","no"
"1453","no"
"1454","no"
"1455","no"
"1456","no"
"1457","no"
"1458","no"
"1459","no"
"1460","no"
"1461","no"
"1462","no"
"1463","yes"
"1464","no"
"1465","no"
"1466","no"
"1467","no"
"1468","no"
"1469","no"
"1470","no"
"1471","no"
"1472","no"
"1473","no"
"1474","no"
"1475","no"
"1476","no"
"1477","no"
"1478","no"
"1479","no"
"1480","yes"
"1481","no"
"1482","no"
"1483","no"
"1484","no"
"1485","no"
"1486","no"
"1487","no"
"1488","no"
"1489","no"
"1490","no"
"1491","no"
"1492","no"
"1493","no"
"1494","no"
"1495","no"
"1496","no"
"1497","no"
"1498","no"
"1499","no"
"1500","yes"
"1501","yes"
"1502","no"
"1503","no"
"1504","no"
"1505","no"
"1506","no"
"1507","no"
"1508","yes"
"1509","no"
"1510","no"
"1511","no"
"1512","no"
"1513","no"
"1514","no"
"1515","no"
"1516","no"
"1517","no"
"1518","no"
"1519","no"
"1520","yes"
"1521","no"
"1522","no"
"1523","no"
"1524","no"
"1525","no"
"1526","no"
"1527","no"
"1528","no"
"1529","no"
"1530","yes"
"1531","yes"
"1532","no"
"1533","no"
"1534","no"
"1535","no"
"1536","no"
"1537","no"
"1538","no"
"1539","no"
"1540","no"
"1541","yes"
"1542","no"
"1543","no"
"1544","no"
"1545","no"
"1546","no"
"1547","no"
"1548","no"
"1549","yes"
"1550","no"
"1551","no"
"1552","no"
"1553","no"
"1554","yes"
"1555","no"
"1556","no"
"1557","no"
"1558","no"
"1559","no"
"1560","no"
"1561","no"
"1562","no"
"1563","no"
"1564","no"
"1565","no"
"1566","no"
"1567","no"
"1568","no"
"1569","no"
"1570","no"
"1571","no"
"1572","no"
"1573","no"
"1574","no"
"1575","no"
"1576","no"
"1577","no"
"1578","yes"
"1579","no"
"1580","no"
"1581","no"
"1582","yes"
"1583","no"
"1584","no"
"1585","no"
"1586","no"
"1587","yes"
"1588","no"
"1589","no"
"1590","yes"
"1591","no"
"1592","no"
"1593","no"
"1594","yes"
"1595","no"
"1596","yes"
"1597","no"
"1598","no"
"1599","no"
"1600","no"
"1601","no"
"1602","no"
"1603","no"
"1604","no"
"1605","no"
"1606","yes"
"1607","yes"
"1608","no"
"1609","no"
"1610","yes"
"1611","no"
"1612","yes"
"1613","no"
"1614","no"
"1615","no"
"1616","no"
"1617","no"
"1618","no"
"1619","no"
"1620","no"
"1621","no"
"1622","no"
"1623","no"
"1624","no"
"1625","no"
"1626","no"
"1627","no"
"1628","no"
"1629","no"
"1630","no"
"1631","yes"
"1632","no"
"1633","no"
"1634","no"
"1635","no"
"1636","no"
"1637","no"
"1638","no"
"1639","no"
"1640","no"
"1641","no"
"1642","no"
"1643","no"
"1644","yes"
"1645","no"
"1646","no"
"1647","no"
"1648","no"
"1649","no"
"1650","no"
"1651","no"
"1652","no"
"1653","no"
"1654","no"
"1655","no"
"1656","no"
"1657","no"
"1658","no"
"1659","no"
"1660","no"
"1661","no"
"1662","no"
"1663","no"
"1664","no"
"1665","no"
"1666","no"
"1667","no"
"1668","no"
"1669","no"
"1670","no"
"1671","no"
"1672","no"
"1673","no"
"1674","no"
"1675","no"
"1676","no"
"1677","no"
"1678","no"
"1679","no"
"1680","no"
"1681","no"
"1682","no"
"1683","no"
"1684","no"
"1685","no"
"1686","no"
"1687","no"
"1688","no"
"1689","yes"
"1690","no"
"1691","no"
"1692","yes"
"1693","no"
"1694","no"
"1695","no"
"1696","no"
"1697","no"
"1698","no"
"1699","no"
"1700","no"
"1701","no"
"1702","no"
"1703","no"
"1704","yes"
"1705","no"
"1706","no"
"1707","no"
"1708","no"
"1709","no"
"1710","no"
"1711","no"
"1712","no"
"1713","no"
"1714","no"
"1715","no"
"1716","yes"
"1717","no"
"1718","no"
"1719","no"
"1720","yes"
"1721","no"
"1722","no"
"1723","no"
"1724","no"
"1725","no"
"1726","no"
"1727","no"
"1728","no"
"1729","no"
"1730","no"
"1731","no"
"1732","no"
"1733","no"
"1734","no"
"1735","no"
"1736","no"
"1737","no"
"1738","no"
"1739","yes"
"1740","no"
"1741","no"
"1742","no"
"1743","no"
"1744","no"
"1745","no"
"1746","yes"
"1747","no"
"1748","no"
"1749","yes"
"1750","yes"
"1751","no"
"1752","no"
"1753","no"
"1754","no"
"1755","no"
"1756","no"
"1757","no"
"1758","no"
"1759","no"
"1760","no"
"1761","no"
"1762","no"
"1763","no"
"1764","no"
"1765","no"
"1766","no"
"1767","no"
"1768","no"
"1769","no"
"1770","no"
"1771","no"
"1772","no"
"1773","yes"
"1774","no"
"1775","yes"
"1776","no"
"1777","no"
"1778","no"
"1779","no"
"1780","no"
"1781","no"
"1782","no"
"1783","no"
"1784","no"
"1785","no"
"1786","no"
"1787","no"
"1788","no"
"1789","no"
"1790","no"
"1791","no"
"1792","yes"
"1793","no"
"1794","no"
"1795","no"
"1796","no"
"1797","no"
"1798","no"
"1799","no"
"1800","no"
"1801","no"
"1802","no"
"1803","no"
"1804","no"
"1805","no"
"1806","no"
"1807","no"
"1808","no"
"1809","yes"
"1810","no"
"1811","no"
"1812","no"
"1813","no"
"1814","no"
"1815","no"
"1816","no"
"1817","no"
"1818","no"
"1819","no"
"1820","yes"
"1821","no"
"1822","no"
"1823","yes"
"1824","no"
"1825","no"
"1826","no"
"1827","no"
"1828","no"
"1829","no"
"1830","no"
"1831","no"
"1832","no"
"1833","yes"
"1834","no"
"1835","yes"
"1836","no"
"1837","no"
"1838","no"
"1839","no"
"1840","no"
"1841","no"
"1842","yes"
"1843","no"
"1844","no"
"1845","no"
"1846","yes"
"1847","no"
"1848","no"
"1849","no"
"1850","no"
"1851","no"
"1852","no"
"1853","yes"
"1854","no"
"1855","no"
"1856","no"
"1857","no"
"1858","no"
"1859","yes"
"1860","no"
"1861","no"
"1862","no"
"1863","no"
"1864","no"
"1865","no"
"1866","no"
"1867","no"
"1868","no"
"1869","no"
"1870","no"
"1871","no"
"1872","no"
"1873","no"
"1874","no"
"1875","yes"
"1876","no"
"1877","no"
"1878","no"
"1879","no"
"1880","no"
"1881","yes"
"1882","no"
"1883","no"
"1884","yes"
"1885","no"
"1886","no"
"1887","yes"
"1888","no"
"1889","no"
"1890","no"
"1891","no"
"1892","no"
"1893","no"
"1894","no"
"1895","no"
"1896","no"
"1897","no"
"1898","no"
"1899","no"
"1900","no"
"1901","no"
"1902","no"
"1903","no"
"1904","no"
"1905","no"
"1906","no"
"1907","no"
"1908","yes"
"1909","no"
"1910","no"
"1911","no"
"1912","no"
"1913","no"
"1914","no"
"1915","no"
"1916","no"
"1917","no"
"1918","no"
"1919","no"
"1920","no"
"1921","yes"
"1922","no"
"1923","no"
"1924","no"
"1925","no"
"1926","no"
"1927","no"
"1928","yes"
"1929","no"
"1930","no"
"1931","no"
"1932","yes"
"1933","no"
"1934","no"
"1935","no"
"1936","no"
"1937","no"
"1938","no"
"1939","no"
"1940","no"
"1941","no"
"1942","yes"
"1943","no"
"1944","no"
"1945","no"
"1946","no"
"1947","no"
"1948","yes"
"1949","no"
"1950","no"
"1951","no"
"1952","no"
"1953","no"
"1954","no"
"1955","no"
"1956","no"
"1957","yes"
"1958","no"
"1959","no"
"1960","yes"
"1961","no"
"1962","no"
"1963","no"
"1964","no"
"1965","no"
"1966","no"
"1967","no"
"1968","no"
"1969","yes"
"1970","no"
"1971","no"
"1972","no"
"1973","no"
"1974","no"
"1975","no"
"1976","no"
"1977","no"
"1978","no"
"1979","no"
"1980","no"
"1981","no"
"1982","no"
"1983","no"
"1984","no"
"1985","no"
"1986","no"
"1987","no"
"1988","no"
"1989","no"
"1990","no"
"1991","no"
"1992","yes"
"1993","yes"
"1994","no"
"1995","no"
"1996","no"
"1997","no"
"1998","no"
"1999","no"
"2000","no"
"2001","no"
"2002","no"
"2003","no"
"2004","no"
"2005","no"
"2006","no"
"2007","no"
"2008","no"
"2009","yes"
"2010","yes"
"2011","no"
"2012","no"
"2013","yes"
"2014","no"
"2015","no"
"2016","no"
"2017","no"
"2018","no"
"2019","no"
"2020","no"
"2021","no"
"2022","no"
"2023","no"
"2024","no"
"2025","no"
"2026","no"
"2027","no"
"2028","no"
"2029","no"
"2030","no"
"2031","no"
"2032","no"
"2033","no"
"2034","no"
"2035","no"
"2036","no"
"2037","no"
"2038","yes"
"2039","no"
"2040","yes"
"2041","no"
"2042","no"
"2043","no"
"2044","no"
"2045","yes"
"2046","no"
"2047","no"
"2048","no"
"2049","no"
"2050","no"
"2051","no"
"2052","no"
"2053","no"
"2054","no"
"2055","no"
"2056","no"
"2057","no"
"2058","no"
"2059","no"
"2060","no"
"2061","no"
"2062","no"
"2063","no"
"2064","no"
"2065","no"
"2066","no"
"2067","no"
"2068","no"
"2069","no"
"2070","no"
"2071","no"
"2072","yes"
"2073","no"
"2074","no"
"2075","no"
"2076","no"
"2077","no"
"2078","no"
"2079","no"
"2080","no"
"2081","no"
"2082","no"
"2083","no"
"2084","no"
"2085","yes"
"2086","yes"
"2087","no"
"2088","no"
"2089","no"
"2090","yes"
"2091","no"
"2092","no"
"2093","no"
"2094","no"
"2095","no"
"2096","yes"
"2097","no"
"2098","no"
"2099","no"
"2100","no"
"2101","no"
"2102","no"
"2103","no"
"2104","no"
"2105","no"
"2106","no"
"2107","no"
"2108","no"
"2109","yes"
